2023-10-26 14:56:06,255 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(600, 728, None))...
2023-10-26 14:56:06,261 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(700, 828, None))...
2023-10-26 14:56:06,435 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(800, 928, None))...
2023-10-26 14:56:06,441 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(900, 1028, None))...
2023-10-26 14:56:06,448 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(1000, 1128, None))...
2023-10-26 14:56:06,454 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(1036, 1164, None))...
2023-10-26 14:56:06,629 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(0, 128, None))...
2023-10-26 14:56:06,635 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(100, 228, None))...
2023-10-26 14:56:06,642 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(200, 328, None))...
2023-10-26 14:56:06,648 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(300, 428, None))...
2023-10-26 14:56:06,822 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(400, 528, None))...
2023-10-26 14:56:06,829 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(500, 628, None))...
2023-10-26 14:56:06,835 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(600, 728, None))...
2023-10-26 14:56:06,841 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(700, 828, None))...
2023-10-26 14:56:07,017 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(800, 928, None))...
2023-10-26 14:56:07,024 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(900, 1028, None))...
2023-10-26 14:56:07,030 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(1000, 1128, None))...
2023-10-26 14:56:07,036 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(800, 928, None), slice(1036, 1164, None))...
2023-10-26 14:56:07,211 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(0, 128, None))...
2023-10-26 14:56:07,219 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(100, 228, None))...
2023-10-26 14:56:07,225 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(200, 328, None))...
2023-10-26 14:56:07,231 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(300, 428, None))...
2023-10-26 14:56:07,406 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(400, 528, None))...
2023-10-26 14:56:07,413 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(500, 628, None))...
2023-10-26 14:56:07,419 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(600, 728, None))...
2023-10-26 14:56:07,425 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(700, 828, None))...
2023-10-26 14:56:07,600 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(800, 928, None))...
2023-10-26 14:56:07,606 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(900, 1028, None))...
2023-10-26 14:56:07,613 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(1000, 1128, None))...
2023-10-26 14:56:07,619 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(900, 1028, None), slice(1036, 1164, None))...
2023-10-26 14:56:07,795 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(0, 128, None))...
2023-10-26 14:56:07,802 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(100, 228, None))...
2023-10-26 14:56:07,808 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(200, 328, None))...
2023-10-26 14:56:07,814 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(300, 428, None))...
2023-10-26 14:56:07,989 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(400, 528, None))...
2023-10-26 14:56:07,995 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(500, 628, None))...
2023-10-26 14:56:08,002 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(600, 728, None))...
2023-10-26 14:56:08,008 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(700, 828, None))...
2023-10-26 14:56:08,182 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(800, 928, None))...
2023-10-26 14:56:08,189 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(900, 1028, None))...
2023-10-26 14:56:08,195 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(1000, 1128, None))...
2023-10-26 14:56:08,201 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1000, 1128, None), slice(1036, 1164, None))...
2023-10-26 14:56:08,376 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(0, 128, None))...
2023-10-26 14:56:08,383 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(100, 228, None))...
2023-10-26 14:56:08,390 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(200, 328, None))...
2023-10-26 14:56:08,397 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(300, 428, None))...
2023-10-26 14:56:08,573 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(400, 528, None))...
2023-10-26 14:56:08,580 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(500, 628, None))...
2023-10-26 14:56:08,587 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(600, 728, None))...
2023-10-26 14:56:08,594 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(700, 828, None))...
2023-10-26 14:56:08,770 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(800, 928, None))...
2023-10-26 14:56:08,777 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(900, 1028, None))...
2023-10-26 14:56:08,783 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(1000, 1128, None))...
2023-10-26 14:56:08,790 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(1036, 1164, None), slice(1036, 1164, None))...
2023-10-26 14:56:08,966 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(32, 96, None), slice(0, 128, None), slice(0, 128, None))...
2023-10-26 14:56:09,002 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(32, 96, None), slice(0, 128, None), slice(100, 228, None))...
2023-10-26 14:56:09,009 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(32, 96, None), slice(0, 128, None), slice(200, 328, None))...
2023-10-26 14:56:09,015 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(32, 96, None), slice(0, 128, None), slice(300, 428, None))...
2023-10-26 14:56:09,190 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(32, 96, None), slice(0, 128, None), slice(400, 528, None))...
